Date,PDH,PDL,CE_Strike,PE_Strike,CE_Entry,PE_Entry,CE_Exit,PE_Exit,CE_SL_Hit,PE_SL_Hit,CE_PnL,PE_PnL,Total_PnL,Expiry
2023-01-03,18215.15,18086.5,18250,18050,74.3,16.45,74.3,26.32,False,True,0.0,-740.25,-740.25,2023-01-05
2023-01-04,18251.95,18149.8,18300,18100,6.55,84.5,10.48,84.5,True,False,-294.75,0.0,-294.75,2023-01-05
2023-01-05,18243.0,18020.6,18250,18000,0.15,12.15,0.24,19.44,True,True,-6.75,-546.75,-553.5,2023-01-05
2023-01-06,18120.3,17892.6,18150,17850,26.2,92.5,41.92,92.5,True,False,-1179.0,0.0,-1179.0,2023-01-12
2023-01-09,18047.4,17795.55,18050,17750,115.75,8.05,115.75,12.88,False,True,0.0,-362.25,-362.25,2023-01-12
2023-01-10,18141.4,17936.15,18150,17900,18.3,66.55,29.28,66.55,True,False,-823.5,0.0,-823.5,2023-01-12
2023-01-11,18127.6,17856.0,18150,17850,5.8,37.9,9.28,60.64,True,True,-261.0,-1705.5,-1966.5,2023-01-12
2023-01-12,17976.35,17824.35,18000,17800,0.2,0.85,0.32,1.36,True,True,-9.0,-38.25,-47.25,2023-01-12
2023-01-13,17945.8,17761.65,17950,17750,125.7,36.6,125.7,58.56,False,True,0.0,-1647.0,-1647.0,2023-01-19
2023-01-16,17999.35,17774.25,18000,17750,55.75,36.3,89.2,36.3,True,False,-2508.75,0.0,-2508.75,2023-01-19
2023-01-17,18049.65,17853.65,18050,17850,73.65,17.15,73.65,27.44,False,True,0.0,-771.75,-771.75,2023-01-19
2023-01-18,18072.05,17886.95,18100,17850,91.2,4.0,91.2,6.4,False,True,0.0,-180.0,-180.0,2023-01-19
2023-01-19,18183.75,18032.45,18200,18000,0.2,0.25,0.32,0.4,True,True,-9.0,-11.25,-20.25,2023-01-19
2023-01-20,18155.2,18063.75,18200,18050,35.9,89.9,57.44,89.9,True,False,-1615.5,0.0,-1615.5,2023-01-25
2023-01-23,18145.45,18016.2,18150,18000,62.0,18.65,62.0,29.84,False,True,0.0,-839.25,-839.25,2023-01-25
